KFactor;Breed;Gender
4,203849832;Limousin;Bull
4,365914552;Limousin;Bull
4,761059407;Limousin;Bull
4,575976815;Limousin;Bull
4,709888395;Limousin;Bull
4,139703429;Limousin;Bull
3,737878426;Limousin;Bull
3,6975;Limousin;Bull
4,020368979;Limousin;Bull
5,15047476;Limousin;Bull
4,442182621;Limousin;Bull
4,033719622;Limousin;Bull
4,396791811;Limousin;Cow
4,355639209;Limousin;Cow
4,5703125;Limousin;Cow
4,70663475;Limousin;Cow
3,62310642;Limousin;Cow
4,352359304;Limousin;Cow
3,560066877;Limousin;Cow
3,715625619;Limousin;Cow
4,023831657;Limousin;Cow
4,087059147;Limousin;Cow
3,767896177;Limousin;Cow
3,032078836;Limousin;Cow
3,939583001;NRF;Bull
4,287438674;NRF;Bull
3,307805182;NRF;Bull
3,517248203;NRF;Bull
3,008829459;NRF;Bull
2,916124132;NRF;Bull
3,644566005;NRF;Bull
3,656698382;NRF;Bull
3,225643127;NRF;Bull
2,719680967;NRF;Bull
3,525346011;NRF;Bull
3,017863197;NRF;Bull
2,87496721;NRF;Cow
2,80240704;NRF;Cow
3,071870367;NRF;Cow
2,535477183;NRF;Cow
2,646041115;NRF;Cow
2,793990838;NRF;Cow
3,02241583;NRF;Cow
2,684232672;NRF;Cow
2,737046764;NRF;Cow
2,735394785;NRF;Cow
2,99844462;NRF;Cow
2,957105064;NRF;Cow
3,23225109;Holstein;Bull
3,369161051;Holstein;Bull
2,555847168;Holstein;Bull
2,984953306;Holstein;Bull
3,044763354;Holstein;Bull
3,364875646;Holstein;Bull
3,086842301;Holstein;Bull
3,384867974;Holstein;Bull
3,502584678;Holstein;Bull
3,302083065;Holstein;Bull
2,915488885;Holstein;Bull
3,15591898;Holstein;Bull
2,563167567;Holstein;Cow
2,825499873;Holstein;Cow
3,092538603;Holstein;Cow
2,466486075;Holstein;Cow
2,668124413;Holstein;Cow
2,364051157;Holstein;Cow
3,174603175;Holstein;Cow
2,095751415;Holstein;Cow
2,797860973;Holstein;Cow
2,597997905;Holstein;Cow
2,413241106;Holstein;Cow
1,905072886;Holstein;Cow
